prefecture_id,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2026-3,2026-4,2026-5,2026-6,2026-7,2026-3,2026-4,2026-5,2026-6,2026-7,2026-8,2026-9,2026-10
28,18392.0,17532.0,17522.0,17380.0,17542.0,17290.0,17315.0,17957.0,18255.0,16856.0,17344.0,17544.0,17777.0,18531.0,17919.0,16445.0,17242.0,17653.0,17999.0,17406.0,18449.0
29,4247.0,4167.0,4027.0,4190.0,4005.0,4034.0,4007.0,4048.0,4289.0,4110.0,3959.0,4003.0,4044.0,3882.0,4600.999999999999,3895.000000000001,3945.0,4330.0,3834.000000000001,3575.0000000000005,4178.0
30,3516.0,3305.0,3232.0,3630.0,3345.0,3273.0,3444.0,3524.0,3504.0,3212.0,3249.0,3272.0,3420.0,3561.0,3394.0,3143.0,3077.9999999999995,3255.0,3623.9999999999995,3585.9999999999995,3622.9999999999995
31,1905.0,1937.0,1932.0,1949.0,1813.0,1970.0,1854.0,1999.0,1845.0,1757.0,1873.0,1659.0,1804.0,1753.9999999999995,1668.0000000000005,1930.0000000000005,1812.9999999999998,1566.9999999999993,2049.0000000000014,1827.0000000000011,1892.0000000000014
32,1650.0,1778.0,1788.0,1841.0,1668.0,1719.0,1739.0,1628.0,1754.0,1757.0,1756.0,1700.0,1658.0,1791.9999999999998,1794.0,1625.0,1742.0000000000002,1704.9999999999998,1912.0,1643.0000000000002,1768.0
33,6313.0,6223.0,6030.0,6233.0,5970.0,6442.0,6257.0,6425.0,5727.0,5669.0,5952.0,5845.0,5882.0,6333.0,5791.0,5495.0,5969.0,5677.0,6065.0,5521.0,6172.0
34,10072.0,9806.0,9972.0,10073.0,9365.0,9481.0,9847.0,9789.0,9883.0,9365.0,10251.0,9594.0,10000.0,10048.0,9117.0,9781.0,9984.0,9543.0,10266.0,9522.0,10155.0
35,4158.0,4037.0,4084.0,3956.0,3664.0,3928.0,4042.0,3910.0,3722.0,3588.0,4017.0,3645.0,3595.0,4074.0000000000005,3427.0,3546.9999999999995,3976.9999999999995,3617.0000000000005,3894.0000000000005,3566.9999999999995,3734.9999999999995
36,2257.0,2212.0,2171.0,2285.0,2145.0,2059.0,2153.0,2290.0,2217.0,2118.0,2247.0,1984.0,2182.0,2217.0000000000005,2093.0,2272.0,2220.0,1885.000000000001,2369.999999999998,2225.999999999998,2266.999999999998
37,3139.0,2734.0,2865.0,3036.0,2796.0,3015.0,2942.0,2919.0,3085.0,2795.0,3131.0,2759.0,3052.0,3196.0000000000005,2760.0,3051.0,3175.0,2582.9999999999995,3204.0000000000005,3047.0000000000005,3233.0000000000005
38,4405.0,4214.0,4564.0,4342.0,4164.0,4332.0,4385.0,4352.0,4460.0,4152.0,4413.0,4169.0,4308.0,4413.0,4329.0,4251.000000000001,4290.999999999999,4169.0,4547.999999999999,4282.999999999999,4506.999999999999
39,2385.0,2289.0,2332.0,2432.0,2180.0,2165.0,2381.0,2386.0,2363.0,2095.0,2272.0,2040.0,2322.0,2417.0,2161.0,2049.0,2353.0,2266.9999999999995,2234.0,2117.0,2266.0
40,18676.0,18226.0,18730.0,18466.0,17802.0,17787.0,19224.0,18801.0,18446.0,17694.0,18519.0,17377.0,18256.0,18209.0,18105.0,17958.0,18024.0,18037.0,18767.0,17840.0,18394.0
41,2860.0,2611.0,2793.0,2817.0,2753.0,2756.0,2831.0,2691.0,2916.0,2750.0,2929.0,2910.0,2797.0,2822.0000000000005,2737.0,3006.0,2875.0,3023.0,2816.0000000000005,2784.0000000000005,2810.0
42,4664.0,4434.0,4702.0,4487.0,4327.0,4301.0,4727.0,4543.0,4309.0,4187.0,4477.0,4289.0,4384.0,4419.0,4221.000000000001,4433.0,4351.0,4320.0,4583.000000000001,4355.000000000001,4403.000000000001
43,6354.0,6286.0,6311.0,6303.0,6168.0,6054.0,6539.0,6164.0,6361.0,6022.0,6154.0,5970.0,5754.0,6488.0,6251.0,6048.0,5886.0,6294.0,5666.0,5283.0,5594.0
44,4111.0,3978.0,4180.0,4039.0,3834.0,3604.0,4318.0,3951.0,4035.0,3782.0,3868.0,3895.0,3943.0,3892.0,3783.0000000000005,4070.0,3836.9999999999995,3922.0,3892.000000000001,3815.9999999999995,3900.9999999999995
45,3521.0,3257.0,3373.0,3234.0,2913.0,3015.0,3406.0,3315.0,3412.0,3176.0,3249.0,3127.0,3245.0,3434.0,3331.0,3378.0,3067.0,3195.0000000000005,3328.0,3175.0,3452.0
46,5593.0,5077.0,4953.0,4987.0,4726.0,4628.0,5416.0,5185.0,5040.0,4704.0,4980.0,4897.0,4975.0,5404.0,4920.0,4827.0,4916.0,5049.0,4851.0,4900.0,5029.0
47,4605.0,4268.0,4664.0,4587.0,4721.0,4281.0,4282.0,4610.0,4677.0,4271.0,4784.0,3882.0,4851.0,5174.0,4457.0,4593.0,4504.0,3875.0,5115.0,4902.0,5020.0
